Model,Criterion,Max Depth,Accuracy,Precision,Recall,F1 Score
Decision Tree,entropy,10,0.8196603560617721,0.8125389996387402,0.8364662925147068,0.824329051926633
Dummy Classifier,-,-,0.5058403023617738,0.5058403023617738,1.0,0.6718379121191128
Decision Tree,entropy,10,0.8196603560617721,0.8125389996387402,0.8364662925147068,0.824329051926633
Decision Tree,entropy,10,0.8196603560617721,0.8125389996387402,0.8364662925147068,0.824329051926633
Decision Tree,entropy,10,0.8196603560617721,0.8125389996387402,0.8364662925147068,0.824329051926633
Decision Tree,entropy,10,0.8196603560617721,0.8125389996387402,0.8364662925147068,0.824329051926633
Decision Tree,entropy,10,0.8196603560617721,0.8125389996387402,0.8364662925147068,0.824329051926633
Decision Tree,entropy,20,0.913601149248371,0.9132573970479207,0.9162215159916154,0.914737055289273
Decision Tree,entropy,20,0.913601149248371,0.9132573970479207,0.9162215159916154,0.914737055289273
Decision Tree,entropy,20,0.913601149248371,0.9132573970479207,0.9162215159916154,0.914737055289273
Decision Tree,gini,3,0.7099173977733313,0.7081161332893434,0.7256406788829536,0.7167713064386856
Decision Tree,gini,5,0.7439159954166881,0.7337836972529935,0.7748664547974846,0.7537657041373413
Decision Tree,gini,10,0.8299215022317993,0.8296229139384171,0.8353167895057138,0.8324601155679846
Decision Tree,gini,15,0.9159270090469104,0.913569895358197,0.9209209547636756,0.9172306967033708
Decision Tree,gini,20,0.9765703829117712,0.9673603287162834,0.9869835688687538,0.9770734319566236
Decision Tree,gini,30,0.996117866365673,0.9976263944932352,0.9946920008114138,0.9961570366859096
Decision Tree,gini,,0.9976570382911772,0.9976336161725432,0.9977348028940428,0.9976842069676636
Decision Tree,entropy,3,0.7099173977733313,0.7081161332893434,0.7256406788829536,0.7167713064386856
Decision Tree,entropy,5,0.7366989892771022,0.736114810868407,0.7474136182297654,0.7417211877201811
Decision Tree,entropy,15,0.8649975202230089,0.8600079691858149,0.8756508215565623,0.8677589037424197
Decision Tree,entropy,30,0.9646161476236896,0.9624449450290824,0.9678139157481912,0.965121963554222
Decision Tree,entropy,,0.9976570382911772,0.9976672639372528,0.9977009939820136,0.997684128674544
Decision Tree,entropy,20,0.913601149248371,0.9132573970479207,0.9162215159916154,0.914737055289273
Decision Tree,gini,,0.9976570382911772,0.9976336161725432,0.9977348028940428,0.9976842069676636
Decision Tree,entropy,,0.9976570382911772,0.9976672639372528,0.9977009939820136,0.997684128674544
Decision Tree,gini,,0.9976570382911772,0.9976336161725432,0.9977348028940428,0.9976842069676636
Decision Tree,entropy,,0.9976570382911772,0.9976672639372528,0.9977009939820136,0.997684128674544
Decision Tree,gini,,0.9976570382911772,0.9976336161725432,0.9977348028940428,0.9976842069676636
Decision Tree,gini,50,0.9976570382911772,0.9976336161725432,0.9977348028940428,0.9976842069676636
Decision Tree,entropy,,0.9976570382911772,0.9976672639372528,0.9977009939820136,0.997684128674544
Decision Tree,entropy,50,0.9976570382911772,0.9976672639372528,0.9977009939820136,0.997684128674544
Decision Tree,gini,,0.9976570382911772,0.9976336161725432,0.9977348028940428,0.9976842069676636
Decision Tree,entropy,,0.9976570382911772,0.9976672639372528,0.9977009939820136,0.997684128674544
Decision Tree,gini,,0.9976570382911772,0.9976336161725432,0.9977348028940428,0.9976842069676636
Decision Tree,entropy,,0.9976570382911772,0.9976672639372528,0.9977009939820136,0.997684128674544
Decision Tree,gini,,0.9976570382911772,0.9976336161725432,0.9977348028940428,0.9976842069676636
Decision Tree,entropy,,0.9976570382911772,0.9976672639372528,0.9977009939820136,0.997684128674544
Decision Tree,gini,,0.9976570382911772,0.9976336161725432,0.9977348028940428,0.9976842069676636
Decision Tree,entropy,,0.9976570382911772,0.9976672639372528,0.9977009939820136,0.997684128674544
Decision Tree,gini,,0.9976570382911772,0.9976336161725432,0.9977348028940428,0.9976842069676636
Decision Tree,entropy,,0.9976570382911772,0.9976672639372528,0.9977009939820136,0.997684128674544
Decision Tree,gini,,0.9976570382911772,0.9976336161725432,0.9977348028940428,0.9976842069676636
Decision Tree,entropy,,0.9976570382911772,0.9976672639372528,0.9977009939820136,0.997684128674544
Decision Tree,gini,,0.9976570382911772,0.9976336161725432,0.9977348028940428,0.9976842069676636
Decision Tree,entropy,,0.9976570382911772,0.9976672639372528,0.9977009939820136,0.997684128674544
Decision Tree,gini,,0.9976570382911772,0.9976336161725432,0.9977348028940428,0.9976842069676636
Decision Tree,entropy,,0.9976570382911772,0.9976672639372528,0.9977009939820136,0.997684128674544
Decision Tree,gini,,0.9976570382911771,0.9976336161725432,0.9977348028940428,0.9976842069676635
Decision Tree,entropy,,0.9976570382911771,0.9976672639372528,0.9977009939820136,0.997684128674544
