Model,n_estimators,Max Depth,Criterion,Accuracy,Precision,Recall,F1 Score
Extra Trees,200,40,entropy,0.8171805790706822,0.8172511446567308,0.8170677257387826,0.8171131214051393
Extra Trees,200,40,entropy,0.8171805790706822,0.8146112332600439,0.8267293258502941,0.8206255453386133
Extra Trees,200,40,entropy,0.8171805790706822,0.8146112332600439,0.8267293258502941,0.8206255453386133
Extra Trees,100,,gini,0.8159834453508457,0.8141569282136895,0.8243965109202785,0.8192447251713479
Extra Trees,100,,entropy,0.8190446872915704,0.8183676889559243,0.8254783961052133,0.8219076633060105
Extra Trees,100,10,gini,0.7981461529252818,0.7887333095091128,0.8208127662451822,0.8044533540979805
Extra Trees,100,10,entropy,0.796487267627794,0.7853499483471075,0.8224694029346136,0.8034811903425042
Extra Trees,100,20,gini,0.8826124878148889,0.8860299116247451,0.8812969098654405,0.8836570731211227
Extra Trees,100,20,entropy,0.8845450036769107,0.8895791377956788,0.8811278653052945,0.8853333333333333
Extra Trees,100,30,gini,0.8151112479263933,0.813651101380486,0.8229765366150518,0.8182872510294983
Extra Trees,100,30,entropy,0.8178304516614506,0.8162133262046382,0.8258164852255054,0.8209868244151654
Extra Trees,100,40,gini,0.8157782224274451,0.8139985306885728,0.8241260396240448,0.8190309791008669
Extra Trees,100,40,entropy,0.8190104834710037,0.8178866686749005,0.8261545743457975,0.8219998318055672
Extra Trees,150,,gini,0.8168214389547312,0.8141254037494589,0.8265940902021773,0.8203123689375765
Extra Trees,150,,entropy,0.8169753561472817,0.8153568564554932,0.8250050713368043,0.8201525896548247
Extra Trees,150,10,gini,0.7998050382227695,0.790224098733355,0.8226046385827304,0.8060893188444209
Extra Trees,150,10,entropy,0.7980948471944316,0.7867931835786213,0.8241936574481034,0.8050592780951752
Extra Trees,150,20,gini,0.8799616917209653,0.8827581526349724,0.8795050375278923,0.8811285924771792
Extra Trees,150,20,entropy,0.8830058317514067,0.8868810617662073,0.8810940563932652,0.8839780879534623
Extra Trees,150,30,gini,0.8172831905323825,0.8149839957321953,0.826391236730002,0.8206479771697163
Extra Trees,150,30,entropy,0.8161202606331127,0.8136412101825936,0.8255798228413009,0.8195670414499077
Extra Trees,150,40,gini,0.8165136045696304,0.8140557832650205,0.825917911961593,0.8199439475053284
Extra Trees,150,40,entropy,0.8169069485061481,0.8148061653432975,0.8257150584894178,0.8202243417517464
Extra Trees,200,,gini,0.8176936363791836,0.8143987236588447,0.8283859625397255,0.8213327969965138
Extra Trees,200,,entropy,0.817488413455783,0.8151,0.8267293258502941,0.8208734767867334
Extra Trees,200,10,gini,0.8016007388025242,0.7912575742846959,0.8255798228413009,0.808054401959
Extra Trees,200,10,entropy,0.7979580319121646,0.7864052624790404,0.8245317465683955,0.805017329592342
Extra Trees,200,20,gini,0.8805431566706001,0.8834911905489358,0.8798769355602136,0.8816803591090031
Extra Trees,200,20,entropy,0.8830742393925402,0.8877408354646207,0.8801474068564473,0.8839278135239291
Extra Trees,200,30,gini,0.8188736681887366,0.8160601924293371,0.8287240516600176,0.8223433699572256
Extra Trees,200,30,entropy,0.8170095599678484,0.8140680109136887,0.8271688417066739,0.8205661389857795
Extra Trees,200,40,gini,0.8175055153660664,0.8144981536311919,0.8277435932111704,0.821067458121636
