Model,n_estimators,Max Depth,Learning Rate,Accuracy,Precision,Recall,F1 Score
LightGBM,200,5,0.1,0.991825286884545,0.9918265733434084,0.9918217739479394,0.9918241318559516
LightGBM,200,20,0.1,0.991825286884545,0.9917201757350456,0.992122523497194,0.991921308815576
LightGBM,200,20,0.1,0.991825286884545,0.9917201757350456,0.992122523497194,0.991921308815576
LightGBM,100,5,0.01,0.7628991158312384,0.7718685121107266,0.7541754006356075,0.7629193884879784
LightGBM,100,5,0.05,0.8318540180938211,0.8437913503725886,0.8192575562918385,0.8313434884040072
LightGBM,100,5,0.1,0.9306175499803327,0.9445702539804202,0.9166272229359659,0.9303889775398501
LightGBM,100,10,0.01,0.7942127135601047,0.7842768722252828,0.8182432889309622,0.8009001108592418
LightGBM,100,10,0.05,0.9067945889555863,0.9239527691875176,0.8889039150720129,0.9060895337216115
LightGBM,100,10,0.1,0.9722778034306432,0.986496363066857,0.958313611467983,0.9722007854435698
LightGBM,100,15,0.01,0.7980777452841482,0.7855146042864947,0.8264926634660896,0.805482792138256
LightGBM,100,15,0.05,0.9115831238349323,0.9301120744343413,0.8922509973629048,0.9107882385422419
LightGBM,100,15,0.1,0.9777846185418911,0.9893068484617781,0.9665291770910812,0.9777853783668234
LightGBM,100,20,0.01,0.8011731910454398,0.7885060426844948,0.8294002299006018,0.8084363157027517
LightGBM,100,20,0.05,0.9177398115369487,0.9365174480084596,0.8982689837041044,0.9169945468350935
LightGBM,100,20,0.1,0.9725172301746106,0.9864690945772027,0.9588207451484211,0.9724484372589024
LightGBM,150,5,0.01,0.7721512492945461,0.7739391283831609,0.7763202380147407,0.7751278545749152
LightGBM,150,5,0.05,0.8754980931370034,0.8890362202526345,0.8613834606802353,0.8749914142454839
LightGBM,150,5,0.1,0.962871752774785,0.9886602717255644,0.9373520860098722,0.962322764269971
LightGBM,150,10,0.01,0.8123578403707694,0.8064633021478456,0.827675975387112,0.8169319584876698
LightGBM,150,10,0.05,0.9555179313529322,0.9704579540302047,0.940699168300764,0.9553468729076894
LightGBM,150,10,0.1,0.9878918475193679,0.9945186707776635,0.9814727162079925,0.9879526272801524
LightGBM,150,15,0.01,0.8093479041608947,0.8002411051739867,0.8303806883494489,0.8150323544051767
LightGBM,150,15,0.05,0.9541497785302618,0.965136789679383,0.9434376901751301,0.9541638884614727
LightGBM,150,15,0.1,0.9922015289107793,0.9920254105561939,0.9925620393535736,0.9922936524031637
LightGBM,150,20,0.01,0.8122381269987857,0.8045721023155274,0.830549732909595,0.8173545607293174
LightGBM,150,20,0.05,0.9602209566808613,0.9807366638441999,0.9398201365880046,0.9598425468733814
LightGBM,150,20,0.1,0.9874814016725668,0.9916484865012272,0.9835350598417743,0.9875751094816173
LightGBM,200,5,0.01,0.7770081918150258,0.7814574044450495,0.7762526201906823,0.7788463169321054
LightGBM,200,5,0.05,0.9173464676004309,0.935850917673583,0.8981675569680168,0.9166220995428276
LightGBM,200,10,0.01,0.8299728079626494,0.8248411858125992,0.8428561768882278,0.8337513795525233
LightGBM,200,10,0.05,0.9714569117370411,0.984178203393359,0.9589897897085672,0.9714207435058819
LightGBM,200,10,0.1,0.992047611718229,0.994563924846261,0.9896882818310907,0.992120113199234
LightGBM,200,15,0.01,0.8338720435072597,0.8278320570372326,0.8479275136926093,0.8377592945184889
LightGBM,200,15,0.05,0.9675063704615806,0.983813452663963,0.951416593414024,0.9673438520504624
LightGBM,200,15,0.1,0.9922015289107793,0.9920254105561939,0.9925620393535736,0.9922936524031637
LightGBM,200,20,0.01,0.8291006105381972,0.8202780049059689,0.8479275136926093,0.8338736222632288
LightGBM,200,20,0.05,0.9754416568330683,0.9864818144101783,0.9646696869294746,0.9754538306382687
