Model,hidden_layers,activation,solver,Accuracy,Precision,Recall,F1 Score
Neural Network,"(50,)",relu,adam,0.8417731260581807,0.8517582721860723,0.8320035161268511,0.8417650076962545
Neural Network,"(50,)",relu,sgd,0.8449198775503224,0.8566212268743915,0.8328149300155521,0.8445503479960229
Neural Network,"(50,)",tanh,adam,0.92199818719751,0.931759345552449,0.912637771316519,0.9220994380775076
Neural Network,"(50,)",tanh,sgd,0.8553349409129,0.8614657857803033,0.8508350801271215,0.8561174329404161
Neural Network,"(100,)",relu,adam,0.9025362132950252,0.9219650114861284,0.8819730881060247,0.901525754669708
Neural Network,"(100,)",relu,sgd,0.8576094949805894,0.8618963285879708,0.8556021367232403,0.8587376993552766
Neural Network,"(100,)",tanh,adam,0.9295230277221964,0.944788063039452,0.9140915545337752,0.9291863562161696
Neural Network,"(100,)",tanh,sgd,0.8621415012056847,0.8598521590795063,0.8691257015349246,0.8644640605296343
Neural Network,"(100, 50)",relu,adam,0.9636755425581036,0.954205545629012,0.974981405098384,0.9644816053511706
Neural Network,"(100, 50)",relu,sgd,0.93581653070648,0.9277786980288224,0.9468185813780512,0.9372019476933888
Neural Network,"(100, 50)",tanh,adam,0.9770834402202726,0.9712616822429908,0.983805531138008,0.9774933655816452
Neural Network,"(100, 50)",tanh,sgd,0.9296256391838968,0.9371630669917248,0.9227466360132532,0.9298989795744536
Neural Network,"(50,)",relu,adam,0.865271150787543,0.8709655361050328,0.8612482250321185,0.8660796246557645
Neural Network,"(50,)",relu,sgd,0.8443897183315376,0.8513295591010465,0.8388667252687808,0.8450521941998876
Neural Network,"(50,)",tanh,adam,0.92199818719751,0.931759345552449,0.912637771316519,0.9220994380775076
Neural Network,"(50,)",tanh,sgd,0.8553349409129,0.8614657857803033,0.8508350801271215,0.8561174329404161
Neural Network,"(100,)",relu,adam,0.9025362132950252,0.9219650114861284,0.8819730881060247,0.901525754669708
Neural Network,"(100,)",relu,sgd,0.8576094949805894,0.8618963285879708,0.8556021367232403,0.8587376993552766
Neural Network,"(100,)",tanh,adam,0.9295230277221964,0.944788063039452,0.9140915545337752,0.9291863562161696
Neural Network,"(100,)",tanh,sgd,0.8621415012056847,0.8598521590795063,0.8691257015349246,0.8644640605296343
Neural Network,"(100, 50)",relu,adam,0.9636755425581036,0.954205545629012,0.974981405098384,0.9644816053511706
Neural Network,"(100, 50)",relu,sgd,0.93581653070648,0.9277786980288224,0.9468185813780512,0.9372019476933888
Neural Network,"(100, 50)",tanh,adam,0.9770834402202726,0.9712616822429908,0.983805531138008,0.9774933655816452
Neural Network,"(100, 50)",tanh,sgd,0.9296256391838968,0.9371630669917248,0.9227466360132532,0.9298989795744536
