Model,n_estimators,Max Depth,Criterion,Accuracy,Precision,Recall,F1 Score
Random Forest,200,10,entropy,0.8191472987532707,0.8192959275247879,0.8190005500573675,0.819058686140967
Random Forest,200,10,entropy,0.8191472987532707,0.8147338434529133,0.8315640002704713,0.8230628942392959
Random Forest,300,20,entropy,0.9102491748328287,0.9205559012652976,0.9002637095138278,0.910296731847395
Random Forest,100,10,gini,0.8287414704222462,0.8230942000264235,0.8425180877679356,0.8326928860226551
Random Forest,100,10,entropy,0.8175055153660664,0.8119452235604686,0.8319020893907634,0.821802514904063
Random Forest,100,20,gini,0.9165768816376789,0.9290578098943858,0.9041179254851579,0.9164182173331963
Random Forest,100,20,entropy,0.9082140475091067,0.9181953224859225,0.8986070728243966,0.9082956001708672
Random Forest,100,30,gini,0.8886323602346382,0.8953448512272042,0.8830549732909595,0.8891574468085106
Random Forest,100,30,entropy,0.8717185709643768,0.874834459574179,0.8710190006085604,0.8729225608619784
Random Forest,100,,gini,0.8853829972807963,0.892977392977393,0.8787274325512205,0.8857951059914116
Random Forest,100,,entropy,0.8682639850871342,0.87236577809553,0.8663195618365,0.8693321572153144
Random Forest,200,10,gini,0.8269457698424914,0.8211374063438625,0.8410981134627088,0.8309979123173278
Random Forest,200,20,gini,0.9189882509876354,0.9301173944661841,0.9080735681925756,0.9189633051064922
Random Forest,200,20,entropy,0.909171754484976,0.9196555182789748,0.8989789708567179,0.9091997059376656
Random Forest,200,30,gini,0.8879995895541531,0.8943186877161741,0.8829197376428427,0.888582657071403
Random Forest,200,30,entropy,0.8726249722093958,0.8760791244646863,0.8714585164649401,0.8737627118644068
Random Forest,200,,gini,0.8865288252697826,0.8939794621698663,0.8800459801203597,0.886958003237073
Random Forest,200,,entropy,0.8688112462162023,0.8716704557022157,0.8685171411183988,0.8700909414215313
Random Forest,300,10,gini,0.8288953876147965,0.8228695852990664,0.8432618838325783,0.8329409407403697
Random Forest,300,10,entropy,0.8168214389547312,0.8104656903077176,0.8325782676313476,0.8213731801277454
Random Forest,300,20,gini,0.918748824243668,0.930292211168498,0.9073635810399622,0.9186848546048916
Random Forest,300,30,gini,0.8872471055016845,0.8938350296425757,0.8818378524579079,0.8877959121155908
Random Forest,300,30,entropy,0.8725736664785456,0.8760920556141006,0.8713232808168233,0.8737011611153488
Random Forest,300,,gini,0.8857592393070306,0.8929772774078396,0.8795726553519507,0.8862242812372257
Random Forest,300,,entropy,0.8687428385750688,0.8721582220409828,0.8677057272296977,0.8699262774341158
