Age,Gender,Country,self_employed,family_history,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence
25,20,39,0,0,4,4,0,1,1,0,1,1,2,1,0,1,1,2,1,2,1,0
38,39,45,0,1,3,5,0,1,2,1,2,2,2,0,2,1,0,0,1,1,1,0
26,10,44,2,1,3,0,1,1,1,0,1,1,0,4,0,1,1,2,1,0,2,0
28,20,44,0,1,3,5,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0
30,20,21,2,0,3,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0
32,20,45,0,0,3,5,0,1,2,0,1,2,0,2,1,1,2,1,0,2,0,0
24,10,45,2,1,3,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1
28,10,45,0,1,3,2,0,1,0,1,1,1,0,0,2,0,1,0,1,0,0,0
37,37,44,0,0,1,4,0,1,1,0,1,1,0,0,2,1,2,2,0,2,1,0
26,10,45,0,1,2,1,0,1,2,0,1,1,0,0,0,0,0,0,1,0,1,0
60,39,45,0,0,4,5,0,1,2,0,0,2,0,0,1,1,1,2,0,0,2,0
37,20,28,2,0,0,0,1,1,0,1,0,0,0,4,2,2,1,1,1,1,0,0
31,20,45,0,1,3,4,0,1,1,0,1,1,0,2,0,1,2,2,1,0,0,0
33,20,45,0,0,4,4,1,1,2,0,0,2,2,0,1,1,1,2,1,1,2,0
30,20,45,2,0,1,4,1,1,1,1,1,2,0,1,1,1,2,2,1,0,2,0
26,10,45,0,1,3,2,0,1,2,2,1,1,2,1,1,1,2,2,1,1,1,1
28,20,0,0,0,1,1,1,1,1,2,1,1,0,0,2,1,0,0,1,0,1,0
48,39,0,0,0,3,4,0,1,1,0,1,1,0,2,2,1,1,0,1,0,1,1
45,8,45,0,0,3,0,0,1,2,0,1,1,2,1,1,1,2,2,1,1,2,0
36,11,45,0,1,2,4,0,1,0,0,1,0,0,0,2,0,1,0,1,1,0,0
61,39,39,2,0,3,0,1,1,1,0,1,1,0,3,2,0,1,2,1,0,1,1
