Model,n_neighbors,Metric,Accuracy,Precision,Recall,F1 Score
K-Nearest Neighbors,3,euclidean,0.5952380952380952,0.5766423357664233,0.6422764227642277,0.6076923076923076
K-Nearest Neighbors,3,manhattan,0.6547619047619048,0.6363636363636364,0.6829268292682927,0.6588235294117647
K-Nearest Neighbors,5,euclidean,0.623015873015873,0.609375,0.6341463414634146,0.6215139442231076
K-Nearest Neighbors,5,manhattan,0.6785714285714286,0.6544117647058824,0.7235772357723578,0.6872586872586872
K-Nearest Neighbors,7,euclidean,0.6031746031746031,0.5934959349593496,0.5934959349593496,0.5934959349593496
K-Nearest Neighbors,7,manhattan,0.6785714285714286,0.6567164179104478,0.7154471544715447,0.6848249027237354
K-Nearest Neighbors,9,euclidean,0.5873015873015873,0.5772357723577236,0.5772357723577236,0.5772357723577236
K-Nearest Neighbors,9,manhattan,0.6825396825396826,0.6641221374045801,0.7073170731707317,0.6850393700787402
K-Nearest Neighbors,11,euclidean,0.623015873015873,0.6076923076923076,0.6422764227642277,0.6245059288537549
K-Nearest Neighbors,11,manhattan,0.6825396825396826,0.6641221374045801,0.7073170731707317,0.6850393700787402
K-Nearest Neighbors,13,euclidean,0.626984126984127,0.6124031007751938,0.6422764227642277,0.626984126984127
K-Nearest Neighbors,13,manhattan,0.6865079365079365,0.6746031746031746,0.6910569105691057,0.6827309236947792
K-Nearest Neighbors,15,euclidean,0.6031746031746031,0.5877862595419847,0.6260162601626016,0.6062992125984252
K-Nearest Neighbors,15,manhattan,0.6785714285714286,0.6779661016949152,0.6504065040650406,0.6639004149377593
