Model,n_estimators,Max Depth,Learning Rate,Accuracy,Precision,Recall,F1 Score
LightGBM,100,5,0.01,0.8055555555555556,0.7371794871794872,0.934959349593496,0.8243727598566308
LightGBM,100,5,0.05,0.7976190476190477,0.75,0.8780487804878049,0.8089887640449438
LightGBM,100,5,0.1,0.7936507936507936,0.75177304964539,0.8617886178861789,0.803030303030303
LightGBM,100,10,0.01,0.8055555555555556,0.743421052631579,0.91869918699187,0.8218181818181818
LightGBM,100,10,0.05,0.7976190476190477,0.7571428571428571,0.8617886178861789,0.8060836501901141
LightGBM,100,10,0.1,0.7976190476190477,0.7686567164179104,0.8373983739837398,0.8015564202334631
LightGBM,100,15,0.01,0.8055555555555556,0.743421052631579,0.91869918699187,0.8218181818181818
LightGBM,100,15,0.05,0.8015873015873016,0.762589928057554,0.8617886178861789,0.8091603053435115
LightGBM,100,15,0.1,0.8134920634920635,0.7835820895522388,0.8536585365853658,0.8171206225680934
LightGBM,100,20,0.01,0.8055555555555556,0.743421052631579,0.91869918699187,0.8218181818181818
LightGBM,100,20,0.05,0.7976190476190477,0.7571428571428571,0.8617886178861789,0.8060836501901141
LightGBM,100,20,0.1,0.8134920634920635,0.7835820895522388,0.8536585365853658,0.8171206225680934
LightGBM,150,5,0.01,0.8055555555555556,0.7371794871794872,0.934959349593496,0.8243727598566308
LightGBM,150,5,0.05,0.7817460317460317,0.7361111111111112,0.8617886178861789,0.7940074906367042
LightGBM,150,5,0.1,0.7857142857142857,0.7555555555555555,0.8292682926829268,0.7906976744186046
LightGBM,150,10,0.01,0.8055555555555556,0.7466666666666667,0.9105691056910568,0.8205128205128205
LightGBM,150,10,0.05,0.8015873015873016,0.762589928057554,0.8617886178861789,0.8091603053435115
LightGBM,150,10,0.1,0.7936507936507936,0.7709923664122137,0.8211382113821138,0.7952755905511811
LightGBM,150,15,0.01,0.8055555555555556,0.7466666666666667,0.9105691056910568,0.8205128205128205
LightGBM,150,15,0.05,0.7976190476190477,0.7647058823529411,0.8455284552845529,0.803088803088803
LightGBM,150,15,0.1,0.8095238095238095,0.7906976744186046,0.8292682926829268,0.8095238095238095
LightGBM,150,20,0.01,0.8055555555555556,0.7466666666666667,0.9105691056910568,0.8205128205128205
LightGBM,150,20,0.05,0.8055555555555556,0.7681159420289855,0.8617886178861789,0.8122605363984674
LightGBM,150,20,0.1,0.8095238095238095,0.7906976744186046,0.8292682926829268,0.8095238095238095
LightGBM,200,5,0.01,0.8055555555555556,0.7371794871794872,0.934959349593496,0.8243727598566308
LightGBM,200,5,0.05,0.7976190476190477,0.7571428571428571,0.8617886178861789,0.8060836501901141
LightGBM,200,5,0.1,0.7976190476190477,0.7769230769230769,0.8211382113821138,0.7984189723320159
LightGBM,200,10,0.01,0.8015873015873016,0.7482993197278912,0.8943089430894309,0.8148148148148148
LightGBM,200,10,0.05,0.8015873015873016,0.7744360902255639,0.8373983739837398,0.8046875
LightGBM,200,10,0.1,0.7936507936507936,0.7709923664122137,0.8211382113821138,0.7952755905511811
LightGBM,200,15,0.01,0.8015873015873016,0.7482993197278912,0.8943089430894309,0.8148148148148148
LightGBM,200,15,0.05,0.7976190476190477,0.7727272727272727,0.8292682926829268,0.8
LightGBM,200,15,0.1,0.8134920634920635,0.7923076923076923,0.8373983739837398,0.8142292490118577
LightGBM,200,20,0.01,0.8015873015873016,0.7482993197278912,0.8943089430894309,0.8148148148148148
LightGBM,200,20,0.05,0.7976190476190477,0.7686567164179104,0.8373983739837398,0.8015564202334631
LightGBM,200,20,0.1,0.8015873015873016,0.7829457364341085,0.8211382113821138,0.8015873015873016
