Model,hidden_layers,activation,solver,Accuracy,Precision,Recall,F1 Score
Neural Network,"(50,)",relu,adam,0.7738095238095238,0.7578125,0.7886178861788617,0.7729083665338645
Neural Network,"(50,)",relu,sgd,0.7380952380952381,0.728,0.7398373983739838,0.7338709677419355
Neural Network,"(50,)",tanh,adam,0.7658730158730159,0.75,0.7804878048780488,0.7649402390438247
Neural Network,"(50,)",tanh,sgd,0.6904761904761905,0.6923076923076923,0.6585365853658537,0.675
Neural Network,"(100,)",relu,adam,0.75,0.717391304347826,0.8048780487804879,0.7586206896551724
Neural Network,"(100,)",relu,sgd,0.746031746031746,0.7521367521367521,0.7154471544715447,0.7333333333333333
Neural Network,"(100,)",tanh,adam,0.7380952380952381,0.7111111111111111,0.7804878048780488,0.7441860465116279
Neural Network,"(100,)",tanh,sgd,0.7103174603174603,0.6984126984126984,0.7154471544715447,0.7068273092369478
Neural Network,"(100, 50)",relu,adam,0.7738095238095238,0.7619047619047619,0.7804878048780488,0.7710843373493976
Neural Network,"(100, 50)",relu,sgd,0.75,0.75,0.7317073170731707,0.7407407407407407
Neural Network,"(100, 50)",tanh,adam,0.7063492063492064,0.6762589928057554,0.7642276422764228,0.7175572519083969
Neural Network,"(100, 50)",tanh,sgd,0.7142857142857143,0.7007874015748031,0.7235772357723578,0.712
