Model,n_estimators,Max Depth,Criterion,Accuracy,Precision,Recall,F1 Score
Random Forest,100,10.0,gini,0.8174603174603174,0.7984496124031008,0.8373983739837398,0.8174603174603174
Random Forest,100,10.0,entropy,0.8015873015873016,0.7664233576642335,0.8536585365853658,0.8076923076923077
Random Forest,100,20.0,gini,0.8055555555555556,0.7761194029850746,0.8455284552845529,0.8093385214007782
Random Forest,100,20.0,entropy,0.8055555555555556,0.7720588235294118,0.8536585365853658,0.8108108108108109
Random Forest,100,30.0,gini,0.8015873015873016,0.7703703703703704,0.8455284552845529,0.8062015503875969
Random Forest,100,30.0,entropy,0.8015873015873016,0.7703703703703704,0.8455284552845529,0.8062015503875969
Random Forest,100,,gini,0.8015873015873016,0.7703703703703704,0.8455284552845529,0.8062015503875969
Random Forest,100,,entropy,0.8015873015873016,0.7703703703703704,0.8455284552845529,0.8062015503875969
Random Forest,200,10.0,gini,0.8253968253968254,0.7969924812030075,0.8617886178861789,0.828125
Random Forest,200,10.0,entropy,0.7896825396825397,0.75,0.8536585365853658,0.7984790874524715
Random Forest,200,20.0,gini,0.8253968253968254,0.7969924812030075,0.8617886178861789,0.828125
Random Forest,200,20.0,entropy,0.8174603174603174,0.7894736842105263,0.8536585365853658,0.8203125
Random Forest,200,30.0,gini,0.8253968253968254,0.7925925925925926,0.8699186991869918,0.8294573643410853
Random Forest,200,30.0,entropy,0.8214285714285714,0.7954545454545454,0.8536585365853658,0.8235294117647058
Random Forest,200,,gini,0.8253968253968254,0.7925925925925926,0.8699186991869918,0.8294573643410853
Random Forest,200,,entropy,0.8214285714285714,0.7954545454545454,0.8536585365853658,0.8235294117647058
Random Forest,300,10.0,gini,0.8015873015873016,0.7786259541984732,0.8292682926829268,0.8031496062992126
Random Forest,300,10.0,entropy,0.7936507936507936,0.7591240875912408,0.8455284552845529,0.8
Random Forest,300,20.0,gini,0.8253968253968254,0.7925925925925926,0.8699186991869918,0.8294573643410853
Random Forest,300,20.0,entropy,0.8174603174603174,0.7851851851851852,0.8617886178861789,0.8217054263565892
Random Forest,300,30.0,gini,0.8214285714285714,0.7867647058823529,0.8699186991869918,0.8262548262548263
Random Forest,300,30.0,entropy,0.8134920634920635,0.7794117647058824,0.8617886178861789,0.8185328185328186
Random Forest,300,,gini,0.8214285714285714,0.7867647058823529,0.8699186991869918,0.8262548262548263
Random Forest,300,,entropy,0.8134920634920635,0.7794117647058824,0.8617886178861789,0.8185328185328186
Random Forest,100,10.0,gini,0.8174603174603174,0.7984496124031008,0.8373983739837398,0.8174603174603174
Random Forest,100,10.0,entropy,0.8015873015873016,0.7664233576642335,0.8536585365853658,0.8076923076923077
Random Forest,100,20.0,gini,0.8055555555555556,0.7761194029850746,0.8455284552845529,0.8093385214007782
Random Forest,100,20.0,entropy,0.8055555555555556,0.7720588235294118,0.8536585365853658,0.8108108108108109
Random Forest,100,30.0,gini,0.8015873015873016,0.7703703703703704,0.8455284552845529,0.8062015503875969
Random Forest,100,30.0,entropy,0.8015873015873016,0.7703703703703704,0.8455284552845529,0.8062015503875969
Random Forest,100,,gini,0.8015873015873016,0.7703703703703704,0.8455284552845529,0.8062015503875969
Random Forest,100,,entropy,0.8015873015873016,0.7703703703703704,0.8455284552845529,0.8062015503875969
Random Forest,200,10.0,gini,0.8253968253968254,0.7969924812030075,0.8617886178861789,0.828125
Random Forest,200,10.0,entropy,0.7896825396825397,0.75,0.8536585365853658,0.7984790874524715
Random Forest,200,20.0,gini,0.8253968253968254,0.7969924812030075,0.8617886178861789,0.828125
Random Forest,200,20.0,entropy,0.8174603174603174,0.7894736842105263,0.8536585365853658,0.8203125
Random Forest,200,30.0,gini,0.8253968253968254,0.7925925925925926,0.8699186991869918,0.8294573643410853
Random Forest,200,30.0,entropy,0.8214285714285714,0.7954545454545454,0.8536585365853658,0.8235294117647058
Random Forest,200,,gini,0.8253968253968254,0.7925925925925926,0.8699186991869918,0.8294573643410853
Random Forest,200,,entropy,0.8214285714285714,0.7954545454545454,0.8536585365853658,0.8235294117647058
Random Forest,300,10.0,gini,0.8015873015873016,0.7786259541984732,0.8292682926829268,0.8031496062992126
Random Forest,300,10.0,entropy,0.7936507936507936,0.7591240875912408,0.8455284552845529,0.8
Random Forest,300,20.0,gini,0.8253968253968254,0.7925925925925926,0.8699186991869918,0.8294573643410853
Random Forest,300,20.0,entropy,0.8174603174603174,0.7851851851851852,0.8617886178861789,0.8217054263565892
Random Forest,300,30.0,gini,0.8214285714285714,0.7867647058823529,0.8699186991869918,0.8262548262548263
Random Forest,300,30.0,entropy,0.8134920634920635,0.7794117647058824,0.8617886178861789,0.8185328185328186
Random Forest,300,,gini,0.8214285714285714,0.7867647058823529,0.8699186991869918,0.8262548262548263
Random Forest,300,,entropy,0.8134920634920635,0.7794117647058824,0.8617886178861789,0.8185328185328186
Random Forest,100,10.0,gini,0.8174603174603174,0.7984496124031008,0.8373983739837398,0.8174603174603174
Random Forest,100,10.0,entropy,0.8015873015873016,0.7664233576642335,0.8536585365853658,0.8076923076923077
Random Forest,100,20.0,gini,0.8055555555555556,0.7761194029850746,0.8455284552845529,0.8093385214007782
Random Forest,100,20.0,entropy,0.8055555555555556,0.7720588235294118,0.8536585365853658,0.8108108108108109
Random Forest,100,30.0,gini,0.8015873015873016,0.7703703703703704,0.8455284552845529,0.8062015503875969
Random Forest,100,30.0,entropy,0.8015873015873016,0.7703703703703704,0.8455284552845529,0.8062015503875969
Random Forest,100,,gini,0.8015873015873016,0.7703703703703704,0.8455284552845529,0.8062015503875969
Random Forest,100,,entropy,0.8015873015873016,0.7703703703703704,0.8455284552845529,0.8062015503875969
Random Forest,200,10.0,gini,0.8253968253968254,0.7969924812030075,0.8617886178861789,0.828125
Random Forest,200,10.0,entropy,0.7896825396825397,0.75,0.8536585365853658,0.7984790874524715
Random Forest,200,20.0,gini,0.8253968253968254,0.7969924812030075,0.8617886178861789,0.828125
Random Forest,200,20.0,entropy,0.8174603174603174,0.7894736842105263,0.8536585365853658,0.8203125
Random Forest,200,30.0,gini,0.8253968253968254,0.7925925925925926,0.8699186991869918,0.8294573643410853
Random Forest,200,30.0,entropy,0.8214285714285714,0.7954545454545454,0.8536585365853658,0.8235294117647058
Random Forest,200,,gini,0.8253968253968254,0.7925925925925926,0.8699186991869918,0.8294573643410853
Random Forest,200,,entropy,0.8214285714285714,0.7954545454545454,0.8536585365853658,0.8235294117647058
Random Forest,300,10.0,gini,0.8015873015873016,0.7786259541984732,0.8292682926829268,0.8031496062992126
