Model,n_estimators,Max Depth,Learning Rate,Accuracy,Precision,Recall,F1 Score
XGBoost,100,5,0.01,0.8055555555555556,0.7371794871794872,0.934959349593496,0.8243727598566308
XGBoost,100,5,0.05,0.8134920634920635,0.7567567567567568,0.9105691056910568,0.8265682656826568
XGBoost,100,5,0.1,0.7896825396825397,0.7464788732394366,0.8617886178861789,0.8
XGBoost,100,10,0.01,0.7976190476190477,0.7686567164179104,0.8373983739837398,0.8015564202334631
XGBoost,100,10,0.05,0.7896825396825397,0.7611940298507462,0.8292682926829268,0.7937743190661478
XGBoost,100,10,0.1,0.7976190476190477,0.7727272727272727,0.8292682926829268,0.8
XGBoost,100,15,0.01,0.7976190476190477,0.7647058823529411,0.8455284552845529,0.803088803088803
XGBoost,100,15,0.05,0.8015873015873016,0.7703703703703704,0.8455284552845529,0.8062015503875969
XGBoost,100,15,0.1,0.8055555555555556,0.7761194029850746,0.8455284552845529,0.8093385214007782
XGBoost,150,5,0.01,0.7976190476190477,0.7337662337662337,0.91869918699187,0.8158844765342961
XGBoost,150,5,0.05,0.7976190476190477,0.75,0.8780487804878049,0.8089887640449438
XGBoost,150,5,0.1,0.7936507936507936,0.7669172932330827,0.8292682926829268,0.796875
XGBoost,150,10,0.01,0.8095238095238095,0.7819548872180451,0.8455284552845529,0.8125
XGBoost,150,10,0.05,0.7857142857142857,0.7633587786259542,0.8130081300813008,0.7874015748031497
XGBoost,150,10,0.1,0.7976190476190477,0.7727272727272727,0.8292682926829268,0.8
XGBoost,150,15,0.01,0.8055555555555556,0.7720588235294118,0.8536585365853658,0.8108108108108109
XGBoost,150,15,0.05,0.7896825396825397,0.7573529411764706,0.8373983739837398,0.7953667953667953
XGBoost,150,15,0.1,0.8095238095238095,0.7819548872180451,0.8455284552845529,0.8125
XGBoost,200,5,0.01,0.8015873015873016,0.7354838709677419,0.926829268292683,0.8201438848920863
XGBoost,200,5,0.05,0.7896825396825397,0.75,0.8536585365853658,0.7984790874524715
XGBoost,200,5,0.1,0.7936507936507936,0.762962962962963,0.8373983739837398,0.7984496124031008
XGBoost,200,10,0.01,0.8095238095238095,0.7819548872180451,0.8455284552845529,0.8125
XGBoost,200,10,0.05,0.7936507936507936,0.7709923664122137,0.8211382113821138,0.7952755905511811
XGBoost,200,10,0.1,0.7976190476190477,0.7727272727272727,0.8292682926829268,0.8
XGBoost,200,15,0.01,0.8015873015873016,0.7703703703703704,0.8455284552845529,0.8062015503875969
XGBoost,200,15,0.05,0.7936507936507936,0.762962962962963,0.8373983739837398,0.7984496124031008
XGBoost,200,15,0.1,0.8174603174603174,0.7851851851851852,0.8617886178861789,0.8217054263565892
XGBoost,250,5,0.01,0.8095238095238095,0.7450980392156863,0.926829268292683,0.8260869565217391
XGBoost,250,5,0.05,0.7896825396825397,0.75,0.8536585365853658,0.7984790874524715
XGBoost,250,5,0.1,0.7936507936507936,0.7669172932330827,0.8292682926829268,0.796875
XGBoost,250,10,0.01,0.8095238095238095,0.7819548872180451,0.8455284552845529,0.8125
XGBoost,250,10,0.05,0.7936507936507936,0.7709923664122137,0.8211382113821138,0.7952755905511811
XGBoost,250,10,0.1,0.8015873015873016,0.7744360902255639,0.8373983739837398,0.8046875
XGBoost,250,15,0.01,0.7976190476190477,0.7686567164179104,0.8373983739837398,0.8015564202334631
XGBoost,250,15,0.05,0.7936507936507936,0.7669172932330827,0.8292682926829268,0.796875
XGBoost,250,15,0.1,0.8095238095238095,0.7819548872180451,0.8455284552845529,0.8125
